# Case,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
0_300_-5,2.5,0.00483138,0.03159648,0.410713541,-0.007837787,0.030578862,-0.002297188
10_180_-10,2.5,0.02465643,0.019518788,0.129686017,-0.002848012,0.00983482,-0.001089617
5_420_0,2.5,0.413177475,0.017473788,4.096261451,-0.061108374,0.260756689,0.003543501
5_180_0,2.5,0.011711703,-0.002235982,0.116344004,-0.002448128,0.008655482,0.000272196
0_180_-10,2.5,0.001195353,0.020115366,0.12586777,-0.00247994,0.009749047,-0.001604455
5_300_5,2.5,0.036265405,-0.032984333,0.348885588,-0.007269042,0.025070761,0.002895593
0_420_-5,2.5,0.036619374,0.312954591,3.289296059,-0.048008981,0.218959803,-0.020209576
10_180_-5,2.5,0.023524424,0.007731171,0.123748027,-0.002604932,0.00925754,-0.000214497
10_420_0,2.5,0.876904387,0.018107397,4.531302563,-0.066380955,0.277200733,0.010016439
0_420_5,2.5,0.036418053,-0.320121304,3.57054765,-0.056017273,0.233764155,0.019349244
10_360_0,2.5,0.460808065,0.004420413,2.277546631,-0.033795186,0.135914058,0.005733132
5_240_5,2.5,0.014701732,-0.014422599,0.15296971,-0.003624419,0.012125747,0.001317943
10_300_-5,2.5,0.077850775,0.028056406,0.401509425,-0.008082438,0.028980408,-0.000719946
0_360_-10,2.5,0.028667606,0.388206514,2.113701221,-0.030198779,0.140662028,-0.025314849
10_420_5,2.5,0.837456487,-0.37633191,4.316181181,-0.062671432,0.260323463,0.03173517
5_360_-10,2.5,0.234516434,0.437396948,2.236171443,-0.034382639,0.142963564,-0.024240122
5_420_-5,2.5,0.420557193,0.404869942,4.180129211,-0.061972419,0.268515341,-0.020207714
10_240_5,2.5,0.028118017,-0.014641863,0.152518475,-0.003472531,0.012041747,0.001593559
0_180_5,2.5,0.001188439,-0.010837738,0.110149067,-0.002399225,0.008385511,0.000738131
0_240_5,2.5,0.001507161,-0.015509053,0.160292134,-0.003812966,0.012826075,0.001084087
10_180_0,2.5,0.022213974,-0.002308116,0.116042232,-0.002391542,0.008487135,0.000508026
0_420_-10,2.5,0.034690909,0.643470492,3.492947326,-0.049107188,0.235746394,-0.042587753
10_300_-10,2.5,0.080343017,0.063185104,0.411379149,-0.008818309,0.030732011,-0.00343715
5_300_0,2.5,0.037898201,-0.006413873,0.360989234,-0.007471922,0.026563196,0.000892548
10_360_-10,2.5,0.452579918,0.44308833,2.247177982,-0.036245824,0.138883072,-0.019683826
10_420_-5,2.5,0.804995461,0.410734895,4.109366902,-0.06231894,0.254549325,-0.013678476
5_180_-5,2.5,0.01226544,0.008171703,0.123233097,-0.002573898,0.009249162,-0.000484288
0_420_0,2.5,0.035486929,-0.007957241,3.578264219,-0.052807864,0.235579861,0.000270235
5_420_5,2.5,0.364107164,-0.306361439,3.523655159,-0.054384582,0.222584832,0.022186822
0_360_-5,2.5,0.028657029,0.207713607,2.237610021,-0.032845329,0.147596432,-0.013253739
10_360_-5,2.5,0.405468254,0.186762706,2.00552524,-0.031090319,0.123105739,-0.005384227
5_300_-10,2.5,0.041386371,0.072354595,0.4151158,-0.00828409,0.03072411,-0.004569399
5_240_0,2.5,0.0166295,-0.002299764,0.168813636,-0.003883675,0.013319111,0.000338455
0_360_5,2.5,0.027555557,-0.194106762,2.139883175,-0.033723685,0.137446953,0.011548751
5_420_-10,2.5,0.335144436,0.650382686,3.300433368,-0.050799637,0.214104951,-0.036639632
0_300_5,2.5,0.004777543,-0.034933929,0.356320186,-0.00747633,0.026354671,0.002466426
0_180_0,2.5,0.001185174,-0.002275199,0.116987679,-0.002433467,0.008929265,8.88E-05
5_240_-5,2.5,0.01794768,0.012204481,0.183179256,-0.004157047,0.014484796,-0.000802785
10_300_0,2.5,0.074050188,-0.004638728,0.382219577,-0.007530594,0.027487097,0.001529905
5_180_5,2.5,0.010512417,-0.009809892,0.105704691,-0.002288084,0.007870187,0.000856348
0_180_-5,2.5,0.00129699,0.008299383,0.122247129,-0.002477827,0.009371157,-0.000698737
10_420_-10,2.5,0.716860028,0.729546435,3.656776139,-0.058613787,0.229608923,-0.033671197
0_240_-10,2.5,0.001901953,0.028459622,0.191783786,-0.004111245,0.015520284,-0.002503049
5_360_-5,2.5,0.245103621,0.226356262,2.333001058,-0.03525429,0.147687765,-0.010922508
0_240_-5,2.5,0.001690006,0.011931715,0.182592323,-0.004013457,0.014725661,-0.001147135
0_240_0,2.5,0.001288493,-0.004196813,0.169752333,-0.003825482,0.013608896,0.000198303
10_240_0,2.5,0.031911634,-0.003231652,0.169907872,-0.003847963,0.01334435,0.000742614
10_180_5,2.5,0.019666898,-0.009988519,0.104383381,-0.002152814,0.00755725,0.0010204
5_300_-5,2.5,0.040163606,0.032072676,0.39745447,-0.007883163,0.028965203,-0.001597638
5_240_-10,2.5,0.018613026,0.029408339,0.193089443,-0.004392059,0.015436388,-0.002210492
0_300_-10,2.5,0.005316859,0.069262999,0.425855633,-0.007983702,0.0322209,-0.005228182
10_360_5,2.5,0.438752502,-0.200688118,2.164300181,-0.031711221,0.126826177,0.016383007
0_360_0,2.5,0.024105058,-0.008165141,2.044425127,-0.030707625,0.13302627,0.000496226
5_360_0,2.5,0.238692095,0.006021901,2.258229061,-0.034106265,0.140971216,0.002131635
5_180_-10,2.5,0.012547135,0.020377639,0.128467073,-0.0026936,0.009752422,-0.00139645
10_240_-5,2.5,0.034383749,0.011230627,0.183643848,-0.004198003,0.014483206,-0.000382254
# Case,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
10_240_-10,3.5,0.036084267,0.028066209,0.192149568,-0.004565239,0.015399527,-0.001719904
0_300_0,3.5,0.004251576,-0.006276395,0.385675958,-0.007704956,0.028811742,0.000335804
10_300_5,3.5,0.067681288,-0.036669055,0.346067194,-0.006885105,0.024305742,0.003500079
5_360_5,3.5,0.228718469,-0.188348021,2.125351931,-0.03310052,0.131216459,0.013219993
0_300_-5,3.5,0.00483138,0.03159648,0.410713541,-0.007837787,0.030578862,-0.002297188
10_180_-10,3.5,0.02465643,0.019518788,0.129686017,-0.002848012,0.00983482,-0.001089617
5_420_0,3.5,0.413177475,0.017473788,4.096261451,-0.061108374,0.260756689,0.003543501
5_180_0,3.5,0.011711703,-0.002235982,0.116344004,-0.002448128,0.008655482,0.000272196
0_180_-10,3.5,0.001195353,0.020115366,0.12586777,-0.00247994,0.009749047,-0.001604455
5_300_5,3.5,0.036265405,-0.032984333,0.348885588,-0.007269042,0.025070761,0.002895593
0_420_-5,3.5,0.036619374,0.312954591,3.289296059,-0.048008981,0.218959803,-0.020209576
10_180_-5,3.5,0.023524424,0.007731171,0.123748027,-0.002604932,0.00925754,-0.000214497
10_420_0,3.5,0.876904387,0.018107397,4.531302563,-0.066380955,0.277200733,0.010016439
0_420_5,3.5,0.036418053,-0.320121304,3.57054765,-0.056017273,0.233764155,0.019349244
10_360_0,3.5,0.460808065,0.004420413,2.277546631,-0.033795186,0.135914058,0.005733132
5_240_5,3.5,0.014701732,-0.014422599,0.15296971,-0.003624419,0.012125747,0.001317943
10_300_-5,3.5,0.077850775,0.028056406,0.401509425,-0.008082438,0.028980408,-0.000719946
0_360_-10,3.5,0.028667606,0.388206514,2.113701221,-0.030198779,0.140662028,-0.025314849
10_420_5,3.5,0.837456487,-0.37633191,4.316181181,-0.062671432,0.260323463,0.03173517
5_360_-10,3.5,0.234516434,0.437396948,2.236171443,-0.034382639,0.142963564,-0.024240122
5_420_-5,3.5,0.420557193,0.404869942,4.180129211,-0.061972419,0.268515341,-0.020207714
10_240_5,3.5,0.028118017,-0.014641863,0.152518475,-0.003472531,0.012041747,0.001593559
0_180_5,3.5,0.001188439,-0.010837738,0.110149067,-0.002399225,0.008385511,0.000738131
0_240_5,3.5,0.001507161,-0.015509053,0.160292134,-0.003812966,0.012826075,0.001084087
10_180_0,3.5,0.022213974,-0.002308116,0.116042232,-0.002391542,0.008487135,0.000508026
