# Case,Cone Angle,Omega,Pitch Angle,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
0_480_0,0,480,0,250.0,-0.17487076588399997,-0.08715977054260005,5.948223172760001,-0.07582916086080001,-0.29030762587259995,-0.003968925750000001
10_480_0,10,480,0,250.0,-1.0851895187579998,-0.0844578764568,5.11707625348,-0.06305695086138119,-0.23648169129759994,-0.01608296606
0_0_0,0,0,0,250.0,-0.0013381696723800001,-0.0005836373164800001,0.05432084890000001,-0.0008211691018799998,-0.00265292086008,-3.20483626e-05
10_120_0,10,120,0,250.0,-0.01880773296419999,0.0003678011384,0.08407324837200002,-0.0009146682915599997,-0.0036778969725400007,-0.00018584518779999996
10_120_-5,10,120,-5,250.0,-0.018134122518,0.008186404944,0.082948577928,-0.0008774102639600006,-0.0034987423404999997,0.0001533024314
10_0_-5,10,0,-5,250.0,-0.010833846024399999,0.0041713331034,0.05258317436599999,-0.0007293976918,-0.0023127908276600008,4.354312552859999e-05
0_120_-5,0,120,-5,250.0,-0.0029541375839799997,0.007285560524,0.07865326595,-0.0007323340658799999,-0.0036775890324399992,0.0003185950961999999
0_120_0,0,120,0,250.0,-0.0028282783791399994,0.0002799917352000001,0.08092049787199998,-0.00085222612582,-0.003868083512860001,1.3495738000000004e-06
# Case,Cone Angle,Omega,Pitch Angle,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
0_0_-5,0,0,-5,500.0,-0.0057094447314,0.0166320229504,0.215608040466,-0.002949973505260001,-0.01054558356934,0.0007768958365799998
0_480_-5,0,480,-5,500.0,-0.007718677098000001,0.06261636862000002,0.5600809817599999,-0.003005304891620001,-0.034533469473999996,0.0036101812740000003
10_480_-5,10,480,-5,500.0,-0.11325521762000001,0.06964370691999999,0.58622559896,-0.0048613106775999984,-0.0359157645622,0.00305271505
10_0_0,10,0,0,500.0,-0.0442509036126,-0.0021154002022,0.21220992897199997,-0.0030326667002200003,-0.009471293205700003,-0.0007037102251200001
0_480_0,0,480,0,500.0,-0.007219870418000001,0.021049793,0.609812739,-0.004229544659440001,-0.0384501380628,0.0010350938980000003
10_480_0,10,480,0,500.0,-0.12514648032,0.024811215980000002,0.6334465801600001,-0.005209845184400001,-0.040317909558800005,0.0002557467819999999
0_0_0,0,0,0,500.0,-0.005447948237879999,-0.0022966743436,0.21751647002599994,-0.0032927559816400003,-0.010642956633719993,-0.00012761225616
10_120_0,10,120,0,500.0,-0.051391742329800004,-0.0024803304012,0.238798402342,-0.0029219560354200006,-0.010715199655,-0.0007444530109999998
10_120_-5,10,120,-5,500.0,-0.0509264502688,0.0190292752932,0.23743589667000006,-0.002833267336424799,-0.010329516031000002,0.00023361562740000004
10_0_-5,10,0,-5,500.0,-0.04352132452655998,0.016721829233200005,0.21033319165400008,-0.002915582834880001,-0.009267547001580001,0.00016409769492999998
0_120_-5,0,120,-5,500.0,-0.007673246372000001,0.018283852639999997,0.233516452084,-0.0025868569740999997,-0.011022309466600003,0.0008131158380000003
0_120_0,0,120,0,500.0,-0.007328832489999999,-0.002443191490799999,0.23670160144999994,-0.0029517465478,-0.011303937562000002,-0.00013281183119999998
