# Case,Cone Angle,Omega,Pitch Angle,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
0_0_-5,0,0,-5,125.0,-0.000352381001,0.0010130636394,0.0134759026044,-0.00018420927065200004,-0.0006564257815600001,4.8283294128e-05
0_480_-5,0,480,-5,125.0,-0.08283684806600002,0.21257484816,2.560046759299999,-0.0302476997488,-0.12553511234999998,0.009657405423999996
10_480_-5,10,480,-5,125.0,-0.6815947051427002,0.25785815353800007,3.137144684040001,-0.04074242958439999,-0.14284179724960003,0.0026739325640000007
10_0_0,10,0,0,125.0,-0.0027307509959600003,-0.00012897285747999997,0.013274972939399995,-0.00018993971843599995,-0.0005896611873799999,-4.3282640456000005e-05
0_480_0,0,480,0,125.0,-0.13438636031000004,-0.044486445106,4.42489592252,-0.05408143342959999,-0.20450539692180003,-0.0018103115594
10_480_0,10,480,0,125.0,-0.905755675552,-0.056031354542000006,4.19822726202,-0.05459790029117698,-0.18043191869300004,-0.013553852178
0_0_0,0,0,0,125.0,-0.00033255038228,-0.00014801269496600002,0.0135903971462,-0.00020498210385200006,-0.00066303908516,-8.29509211e-06
10_120_0,10,120,0,125.0,-0.007445365777999999,0.0012285240640000001,0.039114341864000014,-0.0003269462598199999,-0.0024554838442600005,-2.220721615999999e-05
10_120_-5,10,120,-5,125.0,-0.0067559382239999995,0.003973143126000001,0.03640747615,-0.00030200693716000006,-0.0021981109717800003,0.00015225425640000002
10_0_-5,10,0,-5,125.0,-0.002687905753600001,0.0010388830379999998,0.013164250618399997,-0.00018282117021200002,-0.0005785348788399999,1.1579602329839999e-05
0_120_-5,0,120,-5,125.0,-0.00045372876300000007,0.003715068666,0.03596987083999999,-0.00020235143287000007,-0.0021910509916799998,0.0002015544537999999
0_120_0,0,120,0,125.0,-0.0003980175776000001,0.0010167532820000002,0.038036956783999994,-0.000268771030214,-0.0023872244502,3.335275860000002e-05
